variant,baseline,target_wave,predictor,n_train,n_observed,coverage,observed_levels,globally_eligible,training_eligible
1290,lag_covariates,w26,pi_2320,51993,51970,0.9995576327582559,8,TRUE,TRUE
1290,lag_covariates,w26,pi_2591,51993,51030,0.9814782759217587,13,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_010,10614,10614,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_020,10614,10614,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_1130,10614,10614,1,8,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_1500,10614,10614,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_780,10614,10614,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w11,kp_820,10614,10614,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w11,pi_2280,10614,10611,0.9997173544375353,2,TRUE,TRUE
1290_original_scale,covariates_only,w11,pi_2290s,10614,10611,0.9997173544375353,45,FALSE,FALSE
1290_original_scale,covariates_only,w11,pi_2320,10614,10611,0.9997173544375353,8,TRUE,TRUE
1290_original_scale,covariates_only,w11,pi_2591,10614,10378,0.9777652157527793,13,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_010,20105,20105,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_020,20105,10614,0.5279283760258642,6,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_1130,20105,20105,1,8,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_1500,20105,20105,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_780,20105,20105,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w14,kp_820,20105,20105,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w14,pi_2280,20105,20098,0.9996518279035066,2,TRUE,TRUE
1290_original_scale,covariates_only,w14,pi_2290s,20105,20098,0.9996518279035066,45,FALSE,FALSE
1290_original_scale,covariates_only,w14,pi_2320,20105,20098,0.9996518279035066,8,TRUE,TRUE
1290_original_scale,covariates_only,w14,pi_2591,20105,19655,0.9776175080825665,13,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_010,28599,28599,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_020,28599,19108,0.6681352494842477,6,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_1130,28599,28599,1,9,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_1500,28599,28599,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_780,28599,28599,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w15,kp_820,28599,28599,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w15,pi_2280,28599,28585,0.9995104723941397,2,TRUE,TRUE
1290_original_scale,covariates_only,w15,pi_2290s,28599,28585,0.9995104723941397,45,FALSE,FALSE
1290_original_scale,covariates_only,w15,pi_2320,28599,28585,0.9995104723941397,8,TRUE,TRUE
1290_original_scale,covariates_only,w15,pi_2591,28599,27955,0.9774817301304242,13,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_010,44012,44012,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_020,44012,34521,0.784354267018086,6,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_1130,44012,44012,1,9,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_1500,44012,44012,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_780,44012,44012,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w22,kp_820,44012,44012,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w22,pi_2280,44012,43990,0.9995001363264564,2,TRUE,TRUE
1290_original_scale,covariates_only,w22,pi_2290s,44012,43990,0.9995001363264564,49,FALSE,FALSE
1290_original_scale,covariates_only,w22,pi_2320,44012,43990,0.9995001363264564,8,TRUE,TRUE
1290_original_scale,covariates_only,w22,pi_2591,44012,43096,0.979187494319731,13,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_010,55825,55825,1,6,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_020,55825,46334,0.829986565158979,6,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_1130,55825,55825,1,9,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_1500,55825,55825,1,14,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_780,55825,55825,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w23,kp_820,55825,55825,1,7,TRUE,TRUE
1290_original_scale,covariates_only,w23,pi_2280,55825,55797,0.9994984326018809,2,TRUE,TRUE
