variant,task,baseline,wave,wave_order,ordinal_model,n_train,n_test,predictor_count,predictors_used,n_classes,convergence_code,convergence_message,log_likelihood,max_gradient,hessian_condition,iterations_outer,iterations_inner,threshold_count,thresholds_finite,thresholds_strictly_ordered,min_threshold_gap,probability_rows_valid,max_probability_sum_error,design_column_count,class_prediction_error,probability_prediction_error
1290,Climate-growth grouped,lag_and_covariates,w25,25,expanding_window_ordinal_probit_lag_covariates,43596,8397,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-34398.53449233377,NA,NA,380,77,2,TRUE,TRUE,1.02156632800325,TRUE,1.1102230246251563e-16,70,NA,NA
1290,Climate-growth grouped,lag_and_covariates,w26,26,expanding_window_ordinal_probit_lag_covariates,51993,7383,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-41086.25852362609,NA,NA,390,78,2,TRUE,TRUE,1.0089544530703067,TRUE,1.1102230246251563e-16,70,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w10,10,not_estimated,0,10614,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w11,11,expanding_window_ordinal_probit_covariates_only,10614,9491,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-17681.666023680325,NA,NA,340,73,6,TRUE,TRUE,0.41890695659693034,TRUE,0,63,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w14,14,expanding_window_ordinal_probit_covariates_only,20105,8494,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-33771.480314343215,NA,NA,368,77,6,TRUE,TRUE,0.43188397722106187,TRUE,0,65,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w15,15,expanding_window_ordinal_probit_covariates_only,28599,15413,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-48243.952900381904,NA,NA,391,77,6,TRUE,TRUE,0.44397157425825107,TRUE,0,66,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w22,22,expanding_window_ordinal_probit_covariates_only,44012,11813,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-74439.0714459914,NA,NA,409,76,6,TRUE,TRUE,0.455798576030693,TRUE,0,66,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w23,23,expanding_window_ordinal_probit_covariates_only,55825,10726,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-94921.75464612784,NA,NA,428,77,6,TRUE,TRUE,0.45092073527854737,TRUE,0,66,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w25,25,expanding_window_ordinal_probit_covariates_only,66551,9815,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-114072.09509702776,NA,NA,432,81,6,TRUE,TRUE,0.4430470944308813,TRUE,0,68,NA,NA
1290_original_scale,Climate-growth original,covariates_only,w26,26,expanding_window_ordinal_probit_covariates_only,76366,8299,9,kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-131238.5746304585,NA,NA,446,79,6,TRUE,TRUE,0.441934050175264,TRUE,1.1102230246251563e-16,68,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w11,11,not_estimated,0,8507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w14,14,expanding_window_ordinal_probit_lag_covariates,8507,7318,9,vorwelle_label_cat;kp_010;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-12690.112141443144,NA,NA,341,75,6,TRUE,TRUE,0.5274627260641105,TRUE,1.1102230246251563e-16,63,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w15,15,expanding_window_ordinal_probit_lag_covariates,15825,7411,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-23623.44164775791,NA,NA,395,86,6,TRUE,TRUE,0.5512178622402093,TRUE,6.91779966643935e-13,71,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w22,22,expanding_window_ordinal_probit_lag_covariates,23236,10888,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-34169.48215512157,NA,NA,406,82,6,TRUE,TRUE,0.5830916846547076,TRUE,1.1102230246251563e-16,71,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w23,23,expanding_window_ordinal_probit_lag_covariates,34124,9472,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-50765.72706125277,NA,NA,438,83,6,TRUE,TRUE,0.5654240976937501,TRUE,1.1102230246251563e-16,72,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w25,25,expanding_window_ordinal_probit_lag_covariates,43596,8397,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-64988.51959878442,NA,NA,453,86,6,TRUE,TRUE,0.5654897881783514,TRUE,1.1102230246251563e-16,74,NA,NA
1290_original_scale,Climate-growth original,lag_and_covariates,w26,26,expanding_window_ordinal_probit_lag_covariates,51993,7383,10,vorwelle_label_cat;kp_010;kp_020;kp_1130;kp_1500;kp_780;kp_820;pi_2280;pi_2320;pi_2591,7,0,successful convergence,-77532.87069415128,NA,NA,465,87,6,TRUE,TRUE,0.5683609213135021,TRUE,1.1102230246251563e-16,74,NA,NA
1500,Left-right grouped,covariates_only,w10,10,not_estimated,0,9699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500,Left-right grouped,covariates_only,w14,14,expanding_window_ordinal_probit_covariates_only,9699,7896,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-8409.437814926874,NA,NA,285,63,2,TRUE,TRUE,1.6966259425721613,TRUE,1.1102230246251563e-16,57,NA,NA
1500,Left-right grouped,covariates_only,w15,15,expanding_window_ordinal_probit_covariates_only,17595,14340,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-14869.190988775588,NA,NA,299,65,2,TRUE,TRUE,1.8169451939046593,TRUE,1.1102230246251563e-16,59,NA,NA
1500,Left-right grouped,covariates_only,w22,22,expanding_window_ordinal_probit_covariates_only,31935,10946,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-26589.45373898568,NA,NA,332,68,2,TRUE,TRUE,1.8821302146802268,TRUE,1.1102230246251563e-16,59,NA,NA
1500,Left-right grouped,covariates_only,w23,23,expanding_window_ordinal_probit_covariates_only,42881,9896,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-35471.48041860482,NA,NA,346,68,2,TRUE,TRUE,1.917700030298118,TRUE,1.1102230246251563e-16,60,NA,NA
1500,Left-right grouped,covariates_only,w25,25,expanding_window_ordinal_probit_covariates_only,52777,9085,9,kp_010;kp_020;kp_1130;kp_1290;kp_780;kp_820;pi_2280;pi_2320;pi_2591,3,0,successful convergence,-43727.553526412754,NA,NA,354,68,2,TRUE,TRUE,1.9200992054749997,TRUE,1.1102230246251563e-16,60,NA,NA
