model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,before_university_track,correct_prediction,6758,777,0.11497484462858834,0.0038803431163601603,0.10736937212052243,0.12258031713665425
Mistral-7B-Instruct-v0_3,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,4671,506,0.1083279811603511,0.0045474502904716135,0.09941497859102674,0.11724098372967545
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,before_university_track,correct_prediction,8818,1047,0.11873440689498753,0.0034447416301403157,0.11198271329991251,0.12548610049006254
Mistral-7B-Instruct-v0_3,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,717,0.12916591605116196,0.00450148761779511,0.12034300032028354,0.13798883178204038
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,before_university_track,correct_prediction,3019,358,0.11858231202384896,0.005883954166006671,0.10704976185847588,0.13011486218922202
Mistral-7B-Instruct-v0_3,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4071,509,0.1250307049864898,0.005183871113768539,0.11487031760350347,0.13519109236947613
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,before_university_track,correct_prediction,7294,774,0.10611461475185084,0.0036061653800125004,0.09904653060702634,0.11318269889667534
Mistral-7B-Instruct-v0_3,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,4493,441,0.09815268194969953,0.004438634507488841,0.0894529583150214,0.10685240558437767
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,before_university_track,correct_prediction,8178,987,0.1206896551724138,0.0036023222569330215,0.11362910354882508,0.12775020679600252
Mistral-7B-Instruct-v0_3,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,599,0.10843591600289645,0.0041834638810538385,0.10023632679603094,0.11663550520976197
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,before_university_track,correct_prediction,2588,1134,0.4381761978361669,0.00975309203707314,0.41906013744350357,0.45729225822883024
Mistral-7B-Instruct-v0_3,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,3883,1775,0.4571207828998197,0.0079943543809226,0.44145184831321144,0.472789717486428
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,before_university_track,correct_prediction,4446,2061,0.46356275303643724,0.00747874972762595,0.4489044035702904,0.4782211025025841
Mistral-7B-Instruct-v0_3,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3245,1396,0.43020030816640986,0.008691387498387682,0.41316518866957,0.4472354276632497
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,before_university_track,correct_prediction,5933,2718,0.458115624473285,0.00646850163594697,0.445437361266829,0.47079388767974106
Mistral-7B-Instruct-v0_3,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,3926,1753,0.4465104431991849,0.007934058134409953,0.4309596892557414,0.46206119714262844
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,before_university_track,correct_prediction,1939,884,0.4559051057246003,0.011310600127507562,0.4337363294746855,0.4780738819745151
Mistral-7B-Instruct-v0_3,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,2742,1151,0.4197665937272064,0.00942478769478944,0.40129400984541913,0.4382391776089937
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,before_university_track,correct_prediction,4614,2095,0.4540528825314261,0.007329759281896221,0.4396865543389095,0.4684192107239427
Mistral-7B-Instruct-v0_3,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,2953,1231,0.4168642058923129,0.009072989944987838,0.39908114560013674,0.434647266184489
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,before_university_track,correct_prediction,5178,2369,0.4575125531093086,0.006923334752108057,0.4439428169951768,0.4710822892234404
Mistral-7B-Instruct-v0_3,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,3733,1585,0.42459148138226627,0.008089930430424459,0.4087352177386343,0.44044774502589823
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,before_university_track,correct_prediction,3830,925,0.24151436031331594,0.00691585332217429,0.22795928780185434,0.25506943282477756
Qwen2_5-32B-Instruct,baseline,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1424,0.2579710144927536,0.005888793861863745,0.24642897852350068,0.2695130504620066
Qwen2_5-32B-Instruct,baseline,maennlich,low_income,before_university_track,correct_prediction,6758,1424,0.21071322876590706,0.004960828566224946,0.20099000477610618,0.22043645275570795
Qwen2_5-32B-Instruct,baseline,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1115,0.23870691500749305,0.006237398750074991,0.22648161345734608,0.25093221655764003
Qwen2_5-32B-Instruct,baseline,maennlich,middle_income,before_university_track,correct_prediction,8818,1860,0.21093218416874573,0.004344537423761326,0.20241689081817354,0.21944747751931792
Qwen2_5-32B-Instruct,baseline,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1296,0.2334714465862007,0.005678000703254201,0.22234256520782247,0.24460032796457892
Qwen2_5-32B-Instruct,baseline,weiblich,high_income,before_university_track,correct_prediction,3019,778,0.25770122557138125,0.007960054793288348,0.2420995181765361,0.27330293296622643
Qwen2_5-32B-Instruct,baseline,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1103,0.27094080078604765,0.006965752683904253,0.2572879255255953,0.2845936760465
Qwen2_5-32B-Instruct,baseline,weiblich,low_income,before_university_track,correct_prediction,7294,1491,0.20441458733205375,0.004721896555068149,0.1951596700841202,0.21366950457998732
Qwen2_5-32B-Instruct,baseline,weiblich,low_income,university_track_or_higher,correct_prediction,4493,1000,0.22256843979523702,0.00620575555820183,0.21040515890116143,0.2347317206893126
Qwen2_5-32B-Instruct,baseline,weiblich,middle_income,before_university_track,correct_prediction,8178,1826,0.22328197603325997,0.00460505659547049,0.21425606510613782,0.23230788696038213
Qwen2_5-32B-Instruct,baseline,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1326,0.24004344677769732,0.005746619924528165,0.22878007172562212,0.25130682182977254
Qwen2_5-32B-Instruct,baseline_notime,maennlich,high_income,before_university_track,correct_prediction,3830,842,0.21984334203655354,0.006691880567891384,0.2067272561234864,0.23295942794962066
Qwen2_5-32B-Instruct,baseline_notime,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1344,0.24347826086956523,0.005776586257983465,0.23215615180391763,0.2548003699352128
Qwen2_5-32B-Instruct,baseline_notime,maennlich,low_income,before_university_track,correct_prediction,6758,1299,0.1922166321396863,0.00479329150531778,0.18282178078926345,0.20161148349010913
Qwen2_5-32B-Instruct,baseline_notime,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1087,0.23271248126739455,0.006182782536959333,0.22059422749495425,0.24483073503983485
Qwen2_5-32B-Instruct,baseline_notime,maennlich,middle_income,before_university_track,correct_prediction,8818,1669,0.18927194375141757,0.004171532919353879,0.18109573922948397,0.19744814827335117
Qwen2_5-32B-Instruct,baseline_notime,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1228,0.2212214015492704,0.005571023111873898,0.21030219624999755,0.23214060684854324
Qwen2_5-32B-Instruct,baseline_notime,weiblich,high_income,before_university_track,correct_prediction,3019,632,0.20934084133819145,0.00740440352865155,0.1948282104220344,0.22385347225434848
Qwen2_5-32B-Instruct,baseline_notime,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1033,0.2537460083517563,0.006820125901840141,0.24037856158414964,0.267113455119363
Qwen2_5-32B-Instruct,baseline_notime,weiblich,low_income,before_university_track,correct_prediction,7294,1239,0.16986564299424184,0.004396874689654281,0.16124776860251944,0.17848351738596424
Qwen2_5-32B-Instruct,baseline_notime,weiblich,low_income,university_track_or_higher,correct_prediction,4493,944,0.21010460716670376,0.006077631564498815,0.1981924493002861,0.22201676503312143
Qwen2_5-32B-Instruct,baseline_notime,weiblich,middle_income,before_university_track,correct_prediction,8178,1501,0.18354120811934457,0.004280656455735708,0.1751511214661026,0.19193129477258655
Qwen2_5-32B-Instruct,baseline_notime,weiblich,middle_income,university_track_or_higher,correct_prediction,5524,1189,0.21524257784214337,0.005529743328832571,0.20440428091763155,0.2260808747666552
Qwen2_5-32B-Instruct,tanchored,maennlich,high_income,before_university_track,correct_prediction,3830,874,0.22819843342036553,0.006781250229485509,0.21490718297057393,0.24148968387015712
Qwen2_5-32B-Instruct,tanchored,maennlich,high_income,university_track_or_higher,correct_prediction,5520,1407,0.2548913043478261,0.005865672171282531,0.24339458689211232,0.2663880218035398
Qwen2_5-32B-Instruct,tanchored,maennlich,low_income,before_university_track,correct_prediction,6758,1368,0.20242675347736017,0.004887763119789919,0.1928467377625719,0.21200676919214842
Qwen2_5-32B-Instruct,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,4671,1114,0.23849282808820382,0.006235477652433011,0.22627129188943512,0.2507143642869725
Qwen2_5-32B-Instruct,tanchored,maennlich,middle_income,before_university_track,correct_prediction,8818,1784,0.20231344976185076,0.004278026448953828,0.19392851792190124,0.21069838160180027
Qwen2_5-32B-Instruct,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,5551,1264,0.2277067195099982,0.005628509944366957,0.21667484001903897,0.23873859900095745
Qwen2_5-32B-Instruct,tanchored,weiblich,high_income,before_university_track,correct_prediction,3019,711,0.23550844650546537,0.00772250206443222,0.22037234245917822,0.2506445505517525
Qwen2_5-32B-Instruct,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4071,1040,0.25546548759518545,0.006835306355997072,0.2420682871374312,0.2688626880529397
Qwen2_5-32B-Instruct,tanchored,weiblich,low_income,before_university_track,correct_prediction,7294,1354,0.1856320263230052,0.004552541529114307,0.17670904492594117,0.19455500772006926
