model,prompt_variant,sex,income_band,education_band,outcome,n,n_correct,accuracy,se,ci_low,ci_high
Qwen2_5-32B-Instruct,tanchored,maennlich,high_income,university_track_or_higher,correct_prediction,6294,2515,0.39958690816650777,0.0061740100599689,0.3874858484489687,0.4116879678840468
Qwen2_5-32B-Instruct,tanchored,maennlich,low_income,before_university_track,correct_prediction,8142,3444,0.42299189388356667,0.005475092118024577,0.4122607133322385,0.43372307443489483
Qwen2_5-32B-Instruct,tanchored,maennlich,low_income,university_track_or_higher,correct_prediction,5393,2143,0.39736695716669757,0.006663572628130111,0.3843063548155625,0.4104275595178326
Qwen2_5-32B-Instruct,tanchored,maennlich,middle_income,before_university_track,correct_prediction,10372,4199,0.40483995372155807,0.004819781092480606,0.39539318278029606,0.41428672466282007
Qwen2_5-32B-Instruct,tanchored,maennlich,middle_income,university_track_or_higher,correct_prediction,6453,2608,0.4041531070819774,0.0061088500925011785,0.3921797609006751,0.4161264532632797
Qwen2_5-32B-Instruct,tanchored,weiblich,high_income,before_university_track,correct_prediction,3702,1326,0.3581847649918963,0.007880256585065006,0.34273946208516887,0.3736300678986237
Qwen2_5-32B-Instruct,tanchored,weiblich,high_income,university_track_or_higher,correct_prediction,4782,1690,0.3534086156419908,0.006912716357159949,0.3398596915819573,0.36695753970202427
Qwen2_5-32B-Instruct,tanchored,weiblich,low_income,before_university_track,correct_prediction,9803,3726,0.38008772824645515,0.004902612176119405,0.3704786083812611,0.3896968481116492
Qwen2_5-32B-Instruct,tanchored,weiblich,low_income,university_track_or_higher,correct_prediction,5460,2040,0.37362637362637363,0.0065469522389071215,0.36079434723811565,0.3864584000146316
Qwen2_5-32B-Instruct,tanchored,weiblich,middle_income,before_university_track,correct_prediction,10694,4175,0.3904058350476903,0.004717462545856055,0.3811596084578124,0.39965206163756817
Qwen2_5-32B-Instruct,tanchored,weiblich,middle_income,university_track_or_higher,correct_prediction,6709,2493,0.37159040095394247,0.005899629689852844,0.3600271267618309,0.38315367514605403
Qwen2_5-32B-Instruct,trajectory,maennlich,high_income,before_university_track,correct_prediction,3113,2130,0.6842274333440411,0.008331014293944434,0.66789864532791,0.7005562213601723
Qwen2_5-32B-Instruct,trajectory,maennlich,high_income,university_track_or_higher,correct_prediction,4584,3331,0.7266579406631762,0.006582576854735605,0.7137560900278944,0.7395597912984581
Qwen2_5-32B-Instruct,trajectory,maennlich,low_income,before_university_track,correct_prediction,5647,3744,0.6630069063219408,0.006290144647807394,0.6506782228122383,0.6753355898316433
Qwen2_5-32B-Instruct,trajectory,maennlich,low_income,university_track_or_higher,correct_prediction,3902,2887,0.7398769861609431,0.007023046040130274,0.7261118159222878,0.7536421563995984
Qwen2_5-32B-Instruct,trajectory,maennlich,middle_income,before_university_track,correct_prediction,7343,4780,0.650960098052567,0.0055626016346851355,0.6400573988485841,0.66186279725655
Qwen2_5-32B-Instruct,trajectory,maennlich,middle_income,university_track_or_higher,correct_prediction,4737,3422,0.7223981422841461,0.006506505510317079,0.7096453914839247,0.7351508930843675
Qwen2_5-32B-Instruct,trajectory,weiblich,high_income,before_university_track,correct_prediction,2525,1697,0.6720792079207921,0.00934251956181586,0.6537678695796331,0.6903905462619512
Qwen2_5-32B-Instruct,trajectory,weiblich,high_income,university_track_or_higher,correct_prediction,3359,2415,0.7189639773742185,0.007755852818106505,0.7037625058507297,0.7341654488977072
Qwen2_5-32B-Instruct,trajectory,weiblich,low_income,before_university_track,correct_prediction,6709,4294,0.6400357728424504,0.005860071295019577,0.628550033104212,0.6515215125806888
Qwen2_5-32B-Instruct,trajectory,weiblich,low_income,university_track_or_higher,correct_prediction,3781,2796,0.7394869082253372,0.007138002286592025,0.7254964237436169,0.7534773927070576
Qwen2_5-32B-Instruct,trajectory,weiblich,middle_income,before_university_track,correct_prediction,7392,4772,0.6455627705627706,0.005563625972255614,0.6346580636571496,0.6564674774683915
Qwen2_5-32B-Instruct,trajectory,weiblich,middle_income,university_track_or_higher,correct_prediction,4799,3459,0.7207751614919775,0.006475921196110659,0.7080823559476006,0.7334679670363544
